id,latitude,longitude
1,32.03010021,71.8792103
2,32.36153073,74.69950231
3,30.25747827,73.67574411
4,33.27189873,73.18823821
5,30.39985067,70.43184965
6,28.81551741,72.24841983
7,30.94376343,73.09344812
8,32.95531203,73.03416126
9,32.07969982,72.79488246
10,32.27557571,73.12265161
11,30.48091031,72.00241639
12,31.81692917,71.75713518
13,28.64297043,72.03734716
14,29.5170447,71.93602712
15,28.28756538,69.66690763
16,30.87229426,71.02592342
17,31.0152943,71.31794921
18,28.44744275,72.21508098
19,33.06550061,73.7190959
20,30.04460627,72.26413678
21,30.66748912,70.82410602
22,31.16242037,73.74807463
23,29.96188014,73.35562615
24,32.24558298,72.3572651
25,28.54565708,69.92203038
26,32.21772657,73.86760707
27,31.16003119,70.35815603
28,32.32618693,72.95573533
29,32.30909375,74.97833549
30,28.24272495,71.67944929
31,28.88721932,71.7679128
32,30.65122297,70.47283679
33,31.3571646,71.32958628
34,30.61286125,71.59223119
35,30.88999449,72.71866243
36,29.63356117,71.35306582
37,31.7334643,71.80170689
38,29.97370111,71.8936409
39,27.8894167,71.37526358
40,29.59442582,71.43677504
41,32.25898909,71.55312718
42,32.08345347,71.47040214
43,32.25460689,71.68996772
44,29.34609351,71.18890231
45,29.89564946,73.34368993
46,29.00906865,69.98933773
47,28.58736877,70.51816841
48,31.07500006,70.97767996
49,29.38977675,72.99057927
50,31.39242555,72.60367391
51,29.74082644,70.74513498
52,32.31215193,73.88564977
53,29.55505568,72.97438215
54,31.26732797,73.50472284
55,32.93194279,71.39452302
56,30.95274508,72.09687629
57,30.35622304,71.25495413
58,30.86666013,71.5954249
59,31.1273428,72.86134542
60,32.81611483,73.55749828
61,31.50343566,72.38246159
62,32.26844827,74.55349653
63,33.40743947,72.39115291
64,31.41784993,72.84831358
65,30.45522917,73.92633789
66,31.22979746,72.41241481
67,32.35009817,72.4972284
68,31.61949154,70.89446862
69,30.59250289,73.19230295
70,28.68461251,70.22168
71,31.61026853,70.98856122
72,31.00623807,70.33490064
73,30.95009929,71.96590266
74,30.37997755,72.96043929
75,28.14445085,70.06998179
76,31.82393947,71.38861345
77,32.32214881,74.88720163
78,28.87298542,71.89164248
79,30.63948928,73.5561202
80,30.24718397,72.48952547
81,32.81206572,72.44691981
82,30.69440407,72.85204543
83,28.13149732,71.48704298
84,29.80778889,72.03306674
85,28.30151476,72.10666072
86,32.24893185,74.15705122
87,32.29100024,73.46744888
88,32.69451808,74.22052669
89,28.55267317,71.95845481
90,32.01063975,71.22045684
91,33.27170042,72.12173148
92,31.82545035,71.38240435
93,30.47037252,72.59672316
94,30.70191373,71.05808291
95,31.45996436,74.20042927
96,27.93870841,70.7066141
97,32.51645252,73.74976321
98,29.2080379,70.42693494
99,29.08648636,72.4937975
100,33.38705039,73.46507409
101,28.74129874,72.36969891
102,30.28199055,71.63414753
103,28.36615135,70.88620106
104,33.61052736,73.09923211
105,30.32633834,73.00564892
106,30.06623276,72.53002316
107,28.79823577,71.0032155
108,28.8693958,71.90090545
109,33.67542868,72.66720769
110,28.98151672,71.78794192
111,28.05269959,70.76158656
112,32.10308045,72.34802315
113,33.78853684,73.25949767
114,29.12524014,70.49864831
115,32.04680372,73.51428356
116,30.42344923,70.96277687
117,32.12566825,74.57804205
118,29.21569736,71.36062925
119,28.81105957,71.34578996
120,28.64960174,70.78144575
121,30.85391297,72.72827119
122,33.14849503,72.69290934
123,31.07674758,73.83444338
124,33.25668978,73.29347203
125,29.59451798,72.24697154
126,29.42447704,71.32691345
127,31.79910462,71.10524571
128,31.98343692,73.48331011
129,30.55622915,73.51343248
130,29.69698154,71.2561195
131,30.9649258,73.56374845
132,29.61116778,72.65925267
133,29.29947982,72.80619245
134,31.98687168,71.24486727
135,30.51679774,70.87123237
136,28.16078587,70.10942009
137,29.6041475,71.98976133
138,31.89683409,72.11151682
139,30.27205769,70.200715
140,33.08938504,72.54120755
141,32.52625084,74.50359637
142,31.99824767,74.28470992
143,30.7881303,73.96029352
144,33.76492817,72.50501268
145,32.45834015,72.89013575
146,31.87801853,72.90268709
147,32.01753804,72.21315019
148,30.67357296,71.30920424
149,32.39312501,72.48580703
150,29.15303096,69.88735722
151,31.9027348,73.01167741
152,30.53038466,71.97477153
153,30.09648331,71.92110084
154,29.49156673,70.55111673
155,32.62816808,74.43181632
156,29.73970933,70.84598107
157,33.72182995,72.57169103
158,28.76491844,71.57531958
159,30.58650755,74.01973126
160,30.99166473,72.24754414
161,30.98193793,71.84428475
162,29.09378181,70.66217422
163,33.43059891,72.09466499
164,31.58547317,72.64081346
165,32.80458652,74.15362768
166,30.86985294,71.39321217
167,30.7661826,72.67495265
168,28.42409883,71.21568832
169,30.30144411,70.16241452
170,32.51816984,71.73626997
171,32.50401516,74.60185874
172,31.36437256,74.1256811
173,28.51027888,71.80680689
174,30.70910656,70.20227764
175,31.2758111,73.84972669
176,31.62965649,74.22884509
177,31.91460109,73.73684514
178,32.74570534,71.35365792
179,28.18256167,69.98203305
180,32.33816864,72.64825137
181,31.00375967,70.51075788
182,31.51122912,72.95838338
183,28.89834541,72.27086764
184,32.48310036,74.27347278
185,31.61961197,72.14254362
186,33.30864421,71.97624461
187,32.31801225,72.10831269
188,32.44535043,71.94704323
189,31.7632047,73.81352406
190,30.03782001,70.65798832
191,28.87409167,71.49551561
192,28.4007213,71.13467412
193,30.78562701,73.28218299
194,29.49653978,69.9715934
195,29.17650972,69.75756151
196,30.49834121,70.44942938
197,31.2854302,73.7357092
198,29.09225629,71.47714695
199,30.48422135,71.93903829
200,29.18831355,71.4354414
201,28.82131974,71.67302472
202,31.0483392,72.43386344
203,30.71575736,72.0301961
204,31.4846545,71.4472868
205,32.59201738,74.39165264
206,31.74578375,73.05094262
207,31.17974158,71.30345726
208,30.82407583,72.17895651
209,28.90505103,71.78432061
210,30.53988038,74.02951379
211,30.3929114,71.82118192
212,28.8454637,71.13903487
213,30.8506531,70.79998044
214,31.65543785,72.12962551
215,30.58258812,72.83172767
216,29.39213808,70.80998086
217,31.45065114,72.82349654
218,29.86681813,72.72405887
219,33.44929141,73.57639387
220,32.6996623,72.92630944
221,28.32787247,70.81346106
222,29.14966257,71.31449493
223,32.99423945,72.40722455
224,31.49695835,74.22120699
225,30.20698948,71.95387357
226,31.94567774,73.79650855
227,32.47151086,72.06174579
228,32.63976108,71.89520408
229,28.72021057,70.82043629
230,29.81394317,71.63834993
231,31.74222129,74.47462927
232,32.71279284,73.89758536
233,33.88915876,72.7194445
234,29.89174531,70.90322174
235,32.11493465,71.77886322
236,29.37939716,72.2036101
237,31.61854231,73.9868746
238,29.28416258,70.859789
239,28.38970426,71.76013746
240,29.86703247,71.92926528
241,32.29145045,71.81007901
242,30.08380822,70.51688855
243,30.97167267,70.26304673
244,28.15965649,70.69671572
245,31.26313237,71.18819749
246,30.86073746,71.86190606
247,32.28890953,72.84375606
248,31.79111122,71.73476041
249,28.52140153,71.50239899
250,32.17747101,73.75628481
251,31.71219379,72.44157179
252,28.47409517,71.65633116
253,31.58499767,73.65070295
254,32.67446595,72.81776965
255,31.14534767,70.38718445
256,32.00184088,71.56616487
257,32.07328082,73.31457074
258,32.94606812,73.15974967
259,32.55650122,74.66991288
260,29.13241241,70.57980734
261,31.16331748,71.70603491
262,30.47684348,73.16063708
263,31.10571885,74.00491672
264,28.65853046,69.5492176
265,30.66082221,73.24827912
266,29.64176765,72.05578468
267,29.48098809,72.06804413
268,29.81037524,71.16417949
269,30.78274039,72.44407223
270,31.04348374,70.75597674
271,28.5632409,72.15984726
272,29.34949583,70.64604938
273,30.20320317,70.70798404
274,29.97956355,72.0593373
275,33.66913784,72.81527161
276,29.25620001,71.82070567
277,30.06103763,70.24906406
278,30.46751884,71.47862879
279,28.83060786,70.32776887
280,31.66138886,72.18640045
281,33.59105054,73.59563527
282,32.03590197,74.76494813
283,31.86864923,74.58052686
284,28.74891024,70.46670009
285,29.19464077,72.53370382
286,32.83551012,74.01558893
287,31.05641534,74.28636264
288,30.65789068,70.64962206
289,33.11737026,72.09015838
290,32.19485934,72.02056297
291,30.38057919,72.20582001
292,28.05917077,70.47201177
293,32.59921911,73.68429643
294,32.35281431,74.55169937
295,32.53956262,73.45681327
296,33.08695443,73.12017147
297,29.2519132,70.98331997
298,30.47382378,72.0614929
299,32.79847801,71.27538506
300,32.22455444,71.32221736
